OBJECTID,Projects,Ward,Units,Year Built,Address,City,State,Zipcode,Management Company,Property Manager Contact,Sponsored By,Sponsory Contact,Bondholder,Loan Status (Bonds Redeemed / Active / Recently Converted),Risk Share / Non Risk Share,Renovation / New Construction Year,Building Type,Construction Type,Occupancy Type,Subsidized Programs,Loan Closing Date,Original Loan Balance,Maturity Date,Compliance Period End Date,Asset Manager,MAR_LATITUDE,MAR_LONGITUDE,MARID,GlobalID,EditDate,x,y
20,Arthur Capper TH - Phase II,Ward 8,47,2010,"900 5th Street, SE",Washington,DC,20003,Edgewood,"Sandy Thomas, sthomas@emcmgmt.com",Urban Atlantic / Forest City Residential,,,Redeemed,,2010,Townhomes,New Construction,Residential Families 100 @ 60% AMI or less,ACC,10/22/2010 12:00:00 AM,5700000,,10/18/2025 12:00:00 AM,Clarence,38.87879424,-76.99919638,302625,f46d3472-f653-40a2-8438-f8c6dfcf3739,10/13/2022 8:33:29 PM,400069.927842335,134550.432790383
21,Atlantic Gardens,Ward 8,108,1948,"4319 3rd St, SE",Washington,DC,20032,Winn Residential,Shernetta Hagans shagans@winnco.com (Senior Property Manager)  Risha Williams rkwilliams@winnco.com (Divisional Vice President),"WinnCompanies, LLC","Binh Ly, bly@winnco.com","CITIBANK, N.A.",Active,Non Risk Share,2018,Garden,Acquisition / Rehab,Residential Families 100 @ 60% AMI or less,HAP Contract,10/20/2015 12:00:00 AM,12600000,4/1/2049,10/16/2030 12:00:00 AM,Sidney,38.8282862,-77.00242033,295776,df36d3b7-aaae-41e4-b8f1-baf9d2fe377e,10/13/2022 8:33:29 PM,399790.038103747,128943.683733315
22,Atlantic Terrace,Ward 8,195,1944,"4319 3rd St SE,",Washington,DC,20032,Winn Residential,Shernetta Hagans shagans@winnco.com (Senior Property Manager)  Risha Williams rkwilliams@winnco.com (Divisional Vice President),"WinnCompanies, LLC","Binh Ly, bly@winnco.com","CITIBANK, N.A.",Active,Non Risk Share,2018,Garden,Acquisition / Rehab,Residential Families 100 @ 60% AMI or less,HAP Contract,10/20/2015 12:00:00 AM,19500000,4/1/2049,10/16/2030 12:00:00 AM,Sidney,38.8282862,-77.00242033,295776,a0a44903-1a52-4689-b42b-8c20a1775ec6,10/13/2022 8:33:29 PM,399790.038103747,128943.683733315
23,Avalon Apartments ,Ward 8,60,1966,"820 Southern Avenue, SE",Washington,DC,20032,Vesta,"Charlene Matthews, cmatthews@vestacorp.com",Vesta Corporation,"Charlene Matthews, cmatthews@vestacorp.com",CEDE & CO,Active,Non Risk Share,2010,Garden,Rehab,Residential Families 100 @ 60% AMI,,12/1/2010 12:00:00 AM,5040000,1/1/2044,11/27/2025 12:00:00 AM,Sidney,38.82816784,-76.99326809,288996,cb8f1486-800f-4674-b92e-07a9c3a878c6,10/13/2022 8:33:29 PM,400584.737694839,128930.563734818
24,Azeeze Bates,Ward 7,92,1978,"444 16th Street, NE",Washington,DC,20002,Horning Brothers,"Jeff Milota , jmilota@horningbrothers.com","Azeeze Bates Limited Partnership,","Jeff Milota , jmilota@horningbrothers.com",CEDE & CO,Active,Non Risk Share,2007,Garden,Rehab,Residential Families 100 @ 60% AMI or less,Section 8 HAP Contract,11/1/2006 12:00:00 AM,4130000,11/1/2036,10/28/2021 12:00:00 AM,Sidney,38.89646178,-76.98242799,277568,1743c802-6d1e-40b9-acbb-2f611310cdc5,10/13/2022 8:33:29 PM,401524.537418315,136511.813031093
25,Bass Circle,Ward 7,119,1946,"4511  B Street, SE #103",Washington,DC,20019,CT Group,"Pam Kirby , 240-554-6529 pkirby@c-t-associates.com","Bass Circle LP, ","Patty Broullire 202-295-1234, pbroullire@telesiscorp.com","CAPITAL ONE, NATIONAL ASSOCIATION",Active,Non Risk Share,2013,Garden,Acquisition / Rehab,Residential Families 100 @ 60% AMI or less,,12/20/2012 12:00:00 AM,11610000,6/1/2021,12/17/2027 12:00:00 AM,Sidney,38.88785127,-76.93587589,147594,138632a2-9d4d-417d-8a6d-13e872d0a1a8,10/13/2022 8:33:29 PM,405563.516897757,135557.786056919
26,Belmont Crossing (Jeffrey Gardens),Ward 8,273,2002,"4201 7th St SE, ",Washington,DC,20032,TM Associates,,"REILLY MORTGAGE GROUP, INC.",,,Redeemed,Non Risk Share,2003,Garden,Acquisition / Rehab,Residential Families 100 @ 60% AMI or less,,1/1/2002 12:00:00 AM,12285000,,12/28/2016 12:00:00 AM,Sidney,38.82890029,-76.99665762,149585,f68a4e92-5375-4650-b8d2-d1832384276e,10/13/2022 8:33:29 PM,400290.417778293,129011.854328817
27,Benning Heights,Ward 7,148,2017,"4806 Alabama Ave, SE",Washington,DC,20019,Winn Residential, Stacie Ringold sringold@winnco.com,"Benning Residential, LLC",,"CITIBANK, N.A.",Active,Non Risk Share,2017,Garden,Acquisition / Rehab,Residential Families 100 @ 60% AMI or less,,1/11/2017 12:00:00 AM,16000000,1/1/2049,1/8/2032 12:00:00 AM,Sidney,38.88208722,-76.93992495,152229,ecb5f484-fa2b-45fd-affc-c668bdcec71b,10/13/2022 8:33:29 PM,405212.647180367,134917.69331152
28,Bowen Flats (Bowen Place),Ward 8,41,2015,"2620 Bowen Raod, SE",Washington,DC,20020,Residential One,Lynetta Miller - Lynetta.miller@res1.com,2620 Bowen Road LLC ,Micheala Kelinsky,"CITIBANK, N.A.",Active,Non Risk Share,2015,Garden,New Construction,Residential Families 100 @ 60%,,12/21/2015 12:00:00 AM,6550000,7/1/2033,12/17/2030 12:00:00 AM,Sidney,38.85953066,-76.99195708,307502,2e5cc66d-153f-4cda-ad1d-bd4a8bce1b2d,10/13/2022 8:33:29 PM,400698.267604022,132412.06334981
29,Brightwood (3 projects),Ward 4,140,1937/1937/1939,"58005 14th Street, NW",Washington,DC,,Winn Residential,Stacie Ringold sringold@winnco.com  (Regional Manager)   Kareem Slater kslater@winnco.com  (Senior Vice President),Hampstead Greg Gossard ,,"CITIBANK, N.A.",Active,Non Risk Share,2018,3 properties,Acquisition / Rehab / New Construction,Residential Families 90% @ 60% AMI,,1/29/2015 12:00:00 AM,14316000,2/1/2047,1/25/2030 12:00:00 AM,Sidney,38.96062118,-77.03320717,313449,e88a9b40-60ee-4cb5-b43a-702f2cc381f2,10/13/2022 8:33:29 PM,397122.128536897,143634.43380316
30,Brookland Park Apartments (LURA),Ward 5,80,1950,"617 Hamlin Street, NE",Washington,DC,20017,,,Wesley Housing Development Corp. and Brookland Park Apartments NE Tenant Association,,,Redeemed,Non Risk Share,,Low Rise 3 Floors ,Acquisition / Rehab,Residential Families 100 @ 60% AMI or less,,,,,12/27/1914 12:00:00 AM,,38.92709548,-76.99750816,4114,5296d371-839f-412b-baa0-f863f7b1a380,10/13/2022 8:33:29 PM,400216.267836606,139912.262154518
31,Brookland Place,Ward 5,80,1950,"617 Hamlin Street, NE",Washington,DC,20017,Wesley Property Management,"Austin Dunn, adunn@whdc.org",Wesley Housing Development Corp.,Austin Dunn 703-642-3830 ext.238,"TD Bank, NA",Under Construction,Non Risk Share,2018,Garden,Acquisition / Rehab / New Construction,Residential Families 100 @ 60% AMI or less,LRSP,4/13/2018 12:00:00 AM,9990000,4/1/2020 - 4/1/2035,4/9/2033 12:00:00 AM,Sidney,38.92709548,-76.99750816,4114,8f39b999-373c-4498-8ec0-bea089615042,10/13/2022 8:33:29 PM,400216.267836606,139912.262154518
32,Capitol Hill Towers**,Ward 6,204,,"900 G Street, NE",Washington,DC,20002,ABC Management,"DeShawn Partridge 216-223-5264, dpartridge@abcmgt.com","New Capitol Hill Towers Associates LLC, c/o The Orlean Company ","David Roth contact person 216-223-5268, davidroth@orleanco.com",CEDE & CO,Active,Non Risk Share,2012,High Rise 8 Floors,Acquisition / Rehab,Seniors 55+ 100 @ 60% AMI or less,Section 8,12/21/2011 12:00:00 AM,22980000,12/1/2041 - 6/1/2040,12/17/2026 12:00:00 AM,Clarence,38.89923834,-76.9937881,289042,4dd757f3-e269-46ab-8689-b2af410762b0,10/13/2022 8:33:29 PM,400539.047938035,136819.904913628
33,Capitol Park Plaza Twin Towers ,Ward 6,648,,"201 I St SW,",Washington,DC,20024,Edgewood,"Sandy Thomas, sthomas@emcmgmt.com",,,,Redeemed,,,,,,,10/29/2002 12:00:00 AM,30000000,,10/25/2017 12:00:00 AM,Clarence,38.87969065,-77.01411548,52913,6ae57387-5cfd-45ed-8211-6e8080e70f57,10/13/2022 8:33:29 PM,398775.418395255,134650.035515455
34,Capitol Vista ,Ward 6,104,2019,"810 New Jersey Ave. , NW",Washington,DC,20001,DP Management,Riskshare - Corey Powell,Capitol Vista Community Partners LLC,"Corey Powell,corey@dantespartners.com",CEDE & CO,Under Construction,Risk Share ,,Mid Rise,New Construction,Residential Families,,9/28/2018 12:00:00 AM,25235000,,9/24/2033 12:00:00 AM,Sidney,38.90063043,-77.01342631,318276,7c56eae0-09b9-4404-b16b-32d529ffe5e4,10/13/2022 8:33:29 PM,398835.558598445,136974.505379443
35,Carmel Plaza ,Ward 6,133,,"200 K St NW,",Washington,DC,20001,,,,,,Redeemed,,,,,,,11/1/1991 12:00:00 AM,8830000,,10/28/2006 12:00:00 AM,,38.90220146,-77.01445219,238362,8fde4f28-edff-482c-b3e1-5e586231a3ba,10/13/2022 8:33:29 PM,398746.5982213,137148.91589942
36,Carver Senior ,Ward 7,104,2007,"4800 East Capitol Street, NE",Washington,DC,20019,Bozzuto,Stacey Banks 202-388-5252 - sbanks@bozzuto.com ,,,EMBASSY & CO,Active,Non Risk Share,,Mid Rise ,New Construction,Seniors 55+,,5/11/2006 12:00:00 AM,8870000,10/1/2049,5/7/2021 12:00:00 AM,Sidney,38.89009189,-76.93404195,17394,b7519d93-b9c3-4392-a539-7c7d544c4c24,10/13/2022 8:33:29 PM,405722.447256468,135806.625594373
37,Carver Terrace ,Ward 5,312,1946,"2026 Maryland Ave, NE",Washington,DC,20002,Neighborhood Partners,"Tanisha Rowe trowe@thectgroupllc.com, 202-398-1180","Carver Terrace, L.P.","Michaela Kelinsky, mkelinsky@neighborhooddevelopment.com",EMBASSY & CO,Active,Non Risk Share,2000,Garden,Acquisition / Rehab,Residential Families 100 @ 60% AMI or less,,12/1/2000 12:00:00 AM,15350000,,11/28/2015 12:00:00 AM,Sidney,38.90407589,-76.97447616,52408,88f0f468-4783-41cd-ad91-7621fce35865,10/13/2022 8:33:29 PM,402214.107635702,137357.202919733
38,Cascade Park I,Ward 8,84,2021,"4236 4th Street SE, Washington DC, 30032",Washington,DC,20032,,,,,,,,,Garden Style 4 Buildings,,,,,,,,,38.82673103,-77.00003121,147353,9d96e123-0233-4ffe-a5e8-b51b6cf62eb4,10/13/2022 8:33:29 PM,399997.487842636,128771.046745191
39,Cascade Park II,Ward 8,59,2022,"4232-4238 4th Street SE, Washington DC 20032",Washington,DC,20032,,,,,,,,,,,,,,,,,,38.82675182,-76.99976702,147354,7c5b62e8-6065-4e61-ac7a-3bacbcfaa5f8,10/13/2022 8:33:29 PM,400020.428231907,128773.354597811
40,Cavalier Apartments (Hubbard Place),Ward 1,230,1926,"3500 14th Street, NW",Washington,DC,20010,Habitat America,"Tiffany Jackson, tiffany.jackson@huntcompanies.com","Cavalier Apartments LP and Somerset Cavalier Partners, LP ",Tiffany Jackson 443-263-2949,,Active,Non Risk Share,2009,High Rise 8 Floors,Acquisition / Rehab,Residential Families 100 @ 60% AMI or less,Section 8 HAP Contract,5/28/1992 12:00:00 AM,13405000,,5/25/2007 12:00:00 AM,Sidney,38.93462541,-77.03302136,234780,b39a419c-9f11-4dfb-85a8-50030686c42e,10/13/2022 8:33:29 PM,397137.188793596,140748.664248722
41,Channing Phillips ,Ward 2,56,2018,"1730 7th Street, NW",Washington,DC,20001,The CT Group,"keyanna Carter kcarter@thectgroup.com , 202-483-5166",Channing Phillips Homes LLC,"John Eckert, jeckert@c-t-associates.com",,Active,Non Risk Share,2011,High Rise 8 Floors,New Construction,Residential Families 100 @ 60% AMI or less,,3/4/2015 12:00:00 AM,11500000,,2/28/2030 12:00:00 AM,Clarence,38.91345191,-77.02217728,279356,6dd6d0fc-d669-4a41-92aa-f71c029982eb,10/13/2022 8:33:29 PM,398076.818317924,138397.94195684
42,Chapin Street***,Ward 1,15,1930,"1474 Chapin Street, NW",Washington,DC,20009,E & G,"Carlos Rios 571-488-6683, crios@eandggroup.com","National Equity Fund,","Tracey Ferrara, tferrara@nefinc.org",CEDE & CO,Active,Risk Share ,,Garden,Acquisition / Rehab,Residential Families 100 @ 60% AMI or less,,7/1/2014 12:00:00 AM,1425000,,6/27/2029 12:00:00 AM,Clarence,38.9212417,-77.03447345,234160,29098fa8-b8d5-4ba5-b35e-b3ca477dac42,10/13/2022 8:33:29 PM,397010.728985742,139263.004495075
43,Colorado Ave. Coop,Ward 4,36,1945,"5746 Colorado Avenue, NW",Washington,DC,20011,Vision Realty,"Mario Lloyde 443-804-3300, mario@visionrealtymgt.com","Colorado Avenue NW Cooperative, Inc., ",,,Active,Risk Share ,1997,Garden,Acquisition / Rehab,Residential Families 100 @ 60% AMI or less,,11/13/1997 12:00:00 AM,1000000,,11/9/2012 12:00:00 AM,Clarence,38.95982625,-77.03063166,257795,5134c405-b488-4474-9bfc-c5ee72a5c55a,10/13/2022 8:33:29 PM,397345.31869913,143546.1111685
44,Columbia Heights Village ,Ward 1,406,1972,"2900 14th Street, NW",Washington,DC,20009,Winn Residential,Beverley Wingfield- bwingfiled@winnco.com)  (Regional Property Manager)  Kareem Slater (Senior Vice President) ,"Clark Realty Capitol, LLC / Columbia Heights Village Apts, LLC",,,Redeemed,Non Risk Share,2002,High Rise / Townhouses,Acquisition / Rehab,Residential Families 100 @ 60% AMI or less,Section 8 HAP Contract,12/1/2001 12:00:00 AM,34760000,,11/27/2016 12:00:00 AM,Sidney,38.92705741,-77.03274396,234356,c33ee10a-0346-4045-83f8-d2da7cef2c68,10/13/2022 8:33:29 PM,397160.938498926,139908.54238175
45,Congress Park Plaza I,Ward 8,163,1949,"1327 Savannah St SE, ",Washington,DC,20032,Edgewood,"Sandy Thomas, sthomas@emcmgmt.com","Mid-City Urban, LLC and David Page ",,,Redeemed,Non Risk Share,2001,Garden,Acquisition / Rehab,Residential Families 100 @ 60% AMI or less,Section 8 HAP Contract,3/1/2000 12:00:00 AM,6300000,,2/26/2015 12:00:00 AM,Clarence,38.84318021,-76.98734129,297766,e650f807-ee47-49f0-95cd-b4993f9b0e21,10/13/2022 8:33:29 PM,401099.137773508,130597.093289468
46,Congress Park Plaza II,Ward 8,214,1949,"1345 Savannah Street, SE",Washington,DC,20032,Edgewood,Emma Florentine - congresspkmgr@emcmgmt.com,"Mid-City Urban, LLC and David Page ",,,Active,Non Risk Share,2005,Garden / Townhouse,Rehab,Residential Families 100 @ 60% AMI or less,Section 8,2/1/2004 12:00:00 AM,9060000,,1/28/2019 12:00:00 AM,Clarence,38.84358353,-76.9863788,295931,fbae0035-f442-47a3-97a1-eeea6bdb0045,10/13/2022 8:33:29 PM,401182.687680333,130641.876625872
47,Dahlgreen Courts,Ward 5,96,1929,"2504 & 2520 10th Street, NE",Washington,DC,20018,Eagle Point,"Nancy Schorn, nschorn@eaglepointco.com","Dahlgreen Courts, LLC c/o Mission First Development Corporation ","Nancy Schorn,207-523-8945",CEDE & CO,Active,Non Risk Share,2011,Mid Rise 4 Floors,Acquisition / Rehab,Residential Families 100 @ 60% AMI or less,,6/29/2011 12:00:00 AM,10700000,1/1/2044,6/25/2026 12:00:00 AM,Clarence,38.92286101,-76.99281656,46527,c5267062-7974-4229-bb7a-035c50847ec5,10/13/2022 8:33:29 PM,400623.117666333,139442.221539371
48,Deanwood Hills ,Ward 7,150,2018,"5201 Hayes Street, NE",Washington,DC,20019,Pennrose Management,"Alexis Paone 267-386-8722, apaone@pennrose.com","Pennrose, LLC  ","Gabriela Mosquera, 267-386-8724","CITIBANK, N.A.",Active,Non Risk Share,,Mid Rise ,New Construction,Residential Families 100 @ 60%,,10/27/2016 12:00:00 AM,16830000,11/1/2049,10/24/2031 12:00:00 AM,Clarence,38.89943024,-76.92665141,299817,e8cc5013-ca02-4570-ba8b-54125239a29d,10/13/2022 8:33:29 PM,406362.787096571,136843.744989366
